animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A730621,*Liza,2016-09-10 18:59:00,2016-09-10T18:59:00.000,2016-05-18T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico,
A765349,Einstein,2018-06-08 13:04:00,2018-06-08T13:04:00.000,2009-01-18T00:00:00.000,Adoption,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor,Foster
A883057,,2023-06-13 10:40:00,2023-06-13T10:40:00.000,2022-06-12T00:00:00.000,Disposal,Other,Unknown,1 year,Bat,Brown,Rabies Risk
A760697,Star,2017-10-26 15:22:00,2017-10-26T15:22:00.000,2007-10-23T00:00:00.000,Transfer,Dog,Intact Male,10 years,Yorkshire Terrier Mix,Brown/Black,Partner
A767231,Millie,2018-02-25 17:19:00,2018-02-25T17:19:00.000,2017-02-25T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,White/Tan,
A758536,,2017-09-23 11:09:00,2017-09-23T11:09:00.000,2017-03-18T00:00:00.000,Transfer,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby,Snr
A754682,Big Girl,2017-07-23 11:58:00,2017-07-23T11:58:00.000,2009-07-22T00:00:00.000,Return to Owner,Dog,Spayed Female,8 years,Great Pyrenees Mix,White,
A801106,,2019-08-16 14:05:00,2019-08-16T14:05:00.000,2019-05-06T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby,
A766700,,2018-02-15 08:59:00,2018-02-15T08:59:00.000,2017-02-15T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A812473,Theodore Nubbins,2020-03-05 16:15:00,2020-03-05T16:15:00.000,2010-01-26T00:00:00.000,Adoption,Dog,Neutered Male,10 years,Chihuahua Shorthair,Brown,Foster
A740079,Terry,2016-12-26 13:45:00,2016-12-26T13:45:00.000,2013-12-10T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Black/White,
A757919,*Tofu,2017-10-05 15:36:00,2017-10-05T15:36:00.000,2015-09-08T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Beagle Mix,Brown/White,
A789298,*Mr Wrinkles,2019-04-23 11:59:00,2019-04-23T11:59:00.000,2019-02-15T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White,Foster
A773866,*Nitro,2018-08-23 18:05:00,2018-08-23T18:05:00.000,2016-06-06T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Staffordshire,Black/White,
A765701,,2018-01-25 09:39:00,2018-01-25T09:39:00.000,2017-01-25T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A699884,,2015-04-03 16:16:00,2015-04-03T16:16:00.000,2013-04-03T00:00:00.000,Euthanasia,Cat,Unknown,2 years,Domestic Shorthair Mix,Gray,Suffering
A725530,King,2016-06-09 14:50:00,2016-06-09T14:50:00.000,2015-10-30T00:00:00.000,Adoption,Dog,Neutered Male,7 months,Pit Bull Mix,Brown Brindle/White,
A722378,Canine,2016-03-31 19:08:00,2016-03-31T19:08:00.000,2010-03-15T00:00:00.000,Return to Owner,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black,
A753650,Mama Girl,2023-06-13 11:24:00,2023-06-13T11:24:00.000,2016-01-09T00:00:00.000,Return to Owner,Dog,Spayed Female,7 years,Staffordshire Mix,Brown,
A707743,,2015-07-18 09:00:00,2015-07-18T09:00:00.000,2015-04-17T00:00:00.000,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White,SCRP
A681449,Buster,2014-07-02 19:01:00,2014-07-02T19:01:00.000,2010-06-16T00:00:00.000,Return to Owner,Dog,Neutered Male,4 years,Dogo Argentino Mix,White/Brown,
A738919,Milo,2016-11-27 17:35:00,2016-11-27T17:35:00.000,2016-09-23T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown/Black,
A730464,,2016-07-05 12:47:00,2016-07-05T12:47:00.000,2015-07-05T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat,Black/Brown,Rabies Risk
A860032,*Grace,2023-06-13 12:39:00,2023-06-13T12:39:00.000,2020-06-22T00:00:00.000,Transfer,Dog,Spayed Female,2 years,Pit Bull Mix,Tan,Partner
A805930,*Rachel,2019-11-08 18:37:00,2019-11-08T18:37:00.000,2019-09-11T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Border Collie Mix,Chocolate/White,Foster
A672423,Valentine,2014-02-14 11:44:00,2014-02-14T11:44:00.000,2002-02-10T00:00:00.000,Transfer,Dog,Spayed Female,12 years,Collie Rough Mix,Red,Partner
A665383,Indica,2013-10-30 16:23:00,2013-10-30T16:23:00.000,2013-06-19T00:00:00.000,Adoption,Dog,Spayed Female,4 months,German Shepherd Mix,Black/Tan,
A806497,*Moo,2019-12-17 17:59:00,2019-12-17T17:59:00.000,2019-06-02T00:00:00.000,Adoption,Other,Spayed Female,6 months,Polish,White/White,
A754899,Puppy,2017-07-29 17:57:00,2017-07-29T17:57:00.000,2012-07-26T00:00:00.000,Adoption,Dog,Spayed Female,5 years,German Shepherd Mix,Brown/Black,
A746498,Zeus,2017-05-03 19:25:00,2017-05-03T19:25:00.000,2016-04-04T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Rat Terrier/Cardigan Welsh Corgi,Black/White,
A813785,Snout,2020-02-26 19:45:00,2020-02-26T19:45:00.000,2019-02-18T00:00:00.000,Rto-Adopt,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Brown,
A810161,Lizzie,2019-12-19 15:54:00,2019-12-19T15:54:00.000,2019-10-15T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue Tick/Black,
A791163,,2019-03-24 08:22:00,2019-03-24T08:22:00.000,2019-02-22T00:00:00.000,Died,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White,In Kennel
A777234,Tyson,2019-01-02 00:00:00,2019-01-02T00:00:00.000,2017-11-25T00:00:00.000,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,Partner
A684009,Big Boy,2014-07-19 18:32:00,2014-07-19T18:32:00.000,2012-07-18T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Brown Brindle/White,
A873218,*Lava Cake,2023-06-13 12:15:00,2023-06-13T12:15:00.000,2021-01-22T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White,Foster
A839936,A839936,2021-08-02 17:57:00,2021-08-02T17:57:00.000,2021-05-29T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever,Black/White,
A757815,,2017-09-07 11:00:00,2017-09-07T11:00:00.000,2015-09-07T00:00:00.000,Euthanasia,Other,Unknown,2 years,Raccoon,Gray/Black,Rabies Risk
A792258,Vesper,2019-04-10 20:53:00,2019-04-10T20:53:00.000,2016-09-08T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,
A802723,*Linguine,2019-09-20 18:27:00,2019-09-20T18:27:00.000,2019-07-09T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Miniature Poodle Mix,Tan,Foster
A705205,*Dell,2015-06-20 16:25:00,2015-06-20T16:25:00.000,2015-03-30T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby,Offsite
A689228,Louie,2014-12-05 15:55:00,2014-12-05T15:55:00.000,2014-06-01T00:00:00.000,Adoption,Dog,Neutered Male,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan,
A888952,888952,2023-09-16 08:22:00,2023-09-16T08:22:00.000,2022-09-15T00:00:00.000,Euthanasia,Other,Unknown,1 year,Raccoon,Brown/Black,Suffering
A860161,*Lalo,2022-07-19 15:53:00,2022-07-19T15:53:00.000,2022-05-04T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,
A688837,*Sterling,2014-10-13 18:14:00,2014-10-13T18:14:00.000,2013-09-24T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,
A634392,Junior,2018-03-24 15:56:00,2018-03-24T15:56:00.000,2009-08-11T00:00:00.000,Return to Owner,Dog,Neutered Male,8 years,Standard Schnauzer/Miniature Poodle,White,
A736717,Max,2016-10-21 14:45:00,2016-10-21T14:45:00.000,2013-10-16T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Pug Mix,Brown Brindle,
A766886,Lola,2018-02-26 17:53:00,2018-02-26T17:53:00.000,2017-02-18T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/Brown,
A817863,*Beef,2020-06-04 14:45:00,2020-06-04T14:45:00.000,2018-05-27T00:00:00.000,Adoption,Dog,Neutered Male,2 years,American Bulldog,Brown Brindle/White,
A767796,*Koko,2019-06-20 14:18:00,2019-06-20T14:18:00.000,2017-12-06T00:00:00.000,Transfer,Dog,Spayed Female,1 year,American Pit Bull Terrier Mix,Brown/White,Partner
A777606,Bobo,2018-08-07 17:25:00,2018-08-07T17:25:00.000,2011-07-31T00:00:00.000,Adoption,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tricolor,
A805948,Blue,2019-10-04 11:25:00,2019-10-04T11:25:00.000,2017-10-04T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Siberian Husky,Black/Gray,
A702919,,2015-05-21 13:32:00,2015-05-21T13:32:00.000,2015-04-04T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,Partner
A696409,*Hans,2015-02-09 18:46:00,2015-02-09T18:46:00.000,2014-11-19T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,
A688758,,2014-09-23 13:21:00,2014-09-23T13:21:00.000,2014-09-13T00:00:00.000,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White,Partner
A795325,,2019-05-21 17:10:00,2019-05-21T17:10:00.000,2019-03-19T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever,Black,
A778589,,2018-09-26 10:04:00,2018-09-26T10:04:00.000,2018-07-02T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,Foster
A734055,,2016-09-01 08:05:00,2016-09-01T08:05:00.000,2015-08-31T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A709257,,2015-08-07 08:35:00,2015-08-07T08:35:00.000,2014-08-06T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Black,Rabies Risk
A781976,*Fancy,2018-10-16 14:25:00,2018-10-16T14:25:00.000,2017-10-08T00:00:00.000,Transfer,Dog,Intact Female,1 year,German Shepherd Mix,White,Partner
A751447,Bowser,2017-06-16 18:29:00,2017-06-16T18:29:00.000,2014-06-08T00:00:00.000,Adoption,Dog,Neutered Male,3 years,Beagle Mix,Brown/White,
A643424,Patches,2015-10-30 17:23:00,2015-10-30T17:23:00.000,2009-12-09T00:00:00.000,Return to Owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White,
A791702,Cooper,2019-04-04 16:13:00,2019-04-04T16:13:00.000,2019-01-20T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White,
A727851,,2016-05-26 18:09:00,2016-05-26T18:09:00.000,2014-05-26T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat Mix,Brown/Black,Rabies Risk
A882859,A882859,2023-06-13 13:54:00,2023-06-13T13:54:00.000,2013-06-09T00:00:00.000,Transfer,Dog,Intact Male,10 years,Yorkshire Terrier,Black/Brown,Partner
A748126,,2017-05-15 15:40:00,2017-05-15T15:40:00.000,2016-04-29T00:00:00.000,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Partner
A707363,Jaguar,2015-09-12 18:12:00,2015-09-12T18:12:00.000,2015-05-29T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,
A664941,Tequila,2013-10-12 18:14:00,2013-10-12T18:14:00.000,2009-10-11T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Pit Bull Mix,Red/White,
A657197,Gecko,2013-10-09 13:15:00,2013-10-09T13:15:00.000,2013-05-12T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,
A801948,Boie,2021-07-09 13:24:00,2021-07-09T13:24:00.000,2019-02-12T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Australian Kelpie Mix,Brown Brindle/White,
A809230,*Moo,2019-11-24 16:36:00,2019-11-24T16:36:00.000,2015-11-21T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Siberian Husky,Gray/White,
A783412,*Yams,2018-12-16 12:45:00,2018-12-16T12:45:00.000,2008-10-30T00:00:00.000,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black,
A686459,*Lovey,2014-09-21 17:39:00,2014-09-21T17:39:00.000,2014-07-15T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
A742736,Astro,2017-01-31 17:02:00,2017-01-31T17:02:00.000,2016-05-01T00:00:00.000,Adoption,Dog,Neutered Male,9 months,Yorkshire Terrier/Miniature Poodle,Brown/Gray,
A727627,Cesar,2016-05-26 17:13:00,2016-05-26T17:13:00.000,2015-05-23T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,
A790321,Prince,2019-03-10 17:37:00,2019-03-10T17:37:00.000,2010-03-10T00:00:00.000,Return to Owner,Dog,Intact Male,9 years,Miniature Schnauzer Mix,Black,
A679096,Copper,2015-12-22 11:50:00,2015-12-22T11:50:00.000,2007-05-16T00:00:00.000,Adoption,Dog,Neutered Male,8 years,Miniature Pinscher Mix,Red,Foster
A799580,*Roger Rabbit,2019-08-19 19:09:00,2019-08-19T19:09:00.000,2019-05-10T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White,
A833513,*Lemmy,2021-05-13 13:15:00,2021-05-13T13:15:00.000,2011-05-01T00:00:00.000,Transfer,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby,Partner
A716376,,2015-12-17 11:33:00,2015-12-17T11:33:00.000,2015-10-18T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Boxer Mix,Red/White,Foster
A671125,,2014-01-20 18:32:00,2014-01-20T18:32:00.000,2013-11-03T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,
A755735,Baby,2017-08-15 11:46:00,2017-08-15T11:46:00.000,2013-08-08T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Australian Cattle Dog,Blue Merle,
A697910,Boris,2015-06-23 13:38:00,2015-06-23T13:38:00.000,2013-03-03T00:00:00.000,Return to Owner,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White,
A687056,,2014-08-31 09:00:00,2014-08-31T09:00:00.000,2014-03-30T00:00:00.000,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby,SCRP
A685566,,2014-08-10 19:11:00,2014-08-10T19:11:00.000,2014-06-09T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White,
A666111,*Jerry,2013-10-29 18:47:00,2013-10-29T18:47:00.000,2013-07-29T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,
A827385,Mittens,2021-01-27 08:51:00,2021-01-27T08:51:00.000,2019-12-20T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby/White,Foster
A807106,Wendell,2020-07-23 17:46:00,2020-07-23T17:46:00.000,2019-03-20T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Standard Poodle,Silver,
A785591,Luke,2019-03-09 11:49:00,2019-03-09T11:49:00.000,2017-09-11T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White,
A707921,Debo,2015-07-21 15:01:00,2015-07-21T15:01:00.000,2011-08-14T00:00:00.000,Return to Owner,Dog,Intact Male,3 years,Pit Bull Mix,Red/White,
A718784,*Marigold,2016-01-12 11:52:00,2016-01-12T11:52:00.000,2015-10-07T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,
A675548,,2014-03-29 08:42:00,2014-03-29T08:42:00.000,2014-03-01T00:00:00.000,Euthanasia,Other,Unknown,4 weeks,Bat,Brown/Black,Rabies Risk
A676323,,2014-05-23 12:24:00,2014-05-23T12:24:00.000,2014-03-21T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor,
A882858,A882858,2023-06-13 13:54:00,2023-06-13T13:54:00.000,2013-06-09T00:00:00.000,Transfer,Dog,Spayed Female,10 years,Yorkshire Terrier,Cream,Partner
A808862,Big Papi,2019-11-18 12:23:00,2019-11-18T12:23:00.000,2018-11-14T00:00:00.000,Transfer,Dog,Intact Male,1 year,Miniature Poodle Mix,Apricot,Partner
A707253,Goowa,2016-01-29 16:57:00,2016-01-29T16:57:00.000,2012-07-10T00:00:00.000,Transfer,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown,Partner
A721165,*Nelson,2016-02-26 21:13:00,2016-02-26T21:13:00.000,2015-02-22T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,
A883073,883073,2023-06-13 14:27:00,2023-06-13T14:27:00.000,2023-05-13T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Black,Partner
A819227,Agou,2020-06-30 18:52:00,2020-06-30T18:52:00.000,2018-06-24T00:00:00.000,Rto-Adopt,Dog,Spayed Female,2 years,Great Pyrenees,White,
A685823,Walker,2014-08-15 17:17:00,2014-08-15T17:17:00.000,2011-08-13T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,
A805622,Sadie,2019-12-05 12:02:00,2019-12-05T12:02:00.000,2018-03-29T00:00:00.000,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,
A651995,*Sugar,2018-07-02 15:34:00,2018-07-02T15:34:00.000,2011-10-18T00:00:00.000,Adoption,Dog,Spayed Female,6 years,Staffordshire Mix,Brown/White,Foster
A769199,Sophia,2018-04-03 16:33:00,2018-04-03T16:33:00.000,2016-04-01T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Dachshund Mix,Black/Tan,
A824550,,2020-10-16 14:11:00,2020-10-16T14:11:00.000,2020-09-16T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue,Partner
A696539,Jasper,2015-02-14 16:36:00,2015-02-14T16:36:00.000,2014-11-06T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,Tan/White,
A791899,,2019-04-05 19:36:00,2019-04-05T19:36:00.000,2018-04-02T00:00:00.000,Transfer,Cat,Intact Female,1 year,Siamese Mix,Tortie Point,Snr
A725540,*Tiny,2016-05-02 13:32:00,2016-05-02T13:32:00.000,2016-04-08T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,Partner
A782089,,2018-10-10 21:00:00,2018-10-10T21:00:00.000,2016-10-10T00:00:00.000,Euthanasia,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tan/Black,Suffering
A830483,,2021-03-10 12:31:00,2021-03-10T12:31:00.000,2020-03-10T00:00:00.000,Euthanasia,Cat,Intact Male,1 year,Domestic Shorthair,Seal Point,Suffering
A839198,A839198,2021-08-06 13:07:00,2021-08-06T13:07:00.000,2021-06-08T00:00:00.000,Adoption,Dog,Spayed Female,1 month,German Shepherd,Black/Tan,Foster
A739966,*Skippyjohn,2017-02-10 07:34:00,2017-02-10T07:34:00.000,2016-11-09T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Siamese Mix,Seal Point,Foster
A808447,Elle,2019-12-04 14:45:00,2019-12-04T14:45:00.000,2019-05-08T00:00:00.000,Adoption,Dog,Intact Female,6 months,Labrador Retriever,Black,
A729355,*Bridget,2016-06-24 14:31:00,2016-06-24T14:31:00.000,2016-02-11T00:00:00.000,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby,Partner
A788817,*Latte,2021-11-06 11:55:00,2021-11-06T11:55:00.000,2018-04-09T00:00:00.000,Transfer,Dog,Spayed Female,3 years,Staffordshire Mix,Fawn/White,Partner
A679609,,2014-05-23 16:24:00,2014-05-23T16:24:00.000,2014-04-17T00:00:00.000,Transfer,Dog,Intact Female,1 month,Pit Bull Mix,Brown/White,Partner
A766831,Lucky,2018-02-19 12:30:00,2018-02-19T12:30:00.000,2016-02-17T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Great Pyrenees Mix,White/Black,
A706892,Penny,2016-02-24 18:32:00,2016-02-24T18:32:00.000,2012-07-05T00:00:00.000,Adoption,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black,
A687681,,2014-09-08 18:53:00,2014-09-08T18:53:00.000,2014-09-03T00:00:00.000,Transfer,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby,Partner
A726716,*Montana,2016-12-20 09:59:00,2016-12-20T09:59:00.000,2015-05-13T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,Foster
A692534,Lareine,2014-11-28 16:58:00,2014-11-28T16:58:00.000,2013-11-22T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Queensland Heeler/Pointer,Blue Tick,
A767252,Amy,2019-03-04 19:15:00,2019-03-04T19:15:00.000,2010-01-26T00:00:00.000,Return to Owner,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor/White,
A781920,Binz,2018-10-08 11:17:00,2018-10-08T11:17:00.000,2016-10-08T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,American Bulldog Mix,White/Gray,
A764556,Cash,2018-01-01 16:43:00,2018-01-01T16:43:00.000,2011-05-22T00:00:00.000,Return to Owner,Dog,Intact Male,6 years,Labrador Retriever Mix,Black,
A666702,*Farley,2015-01-12 14:17:00,2015-01-12T14:17:00.000,2013-03-06T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Brown Brindle/White,
A889014,,2023-09-16 08:32:00,2023-09-16T08:32:00.000,2021-09-16T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown,Rabies Risk
